pseudotime,condition,sample,variable,value
2.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.505881494896605
2.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.819721057536259
2.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.488924812968499
2.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.828136456021695
2.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.472877349377733
2.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.837743435137587
2.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.45772971006009
2.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.848519927111847
2.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.443469889965043
2.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.860446516618092
2.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.430083988275485
2.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.873506072524591
2.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.417556842630151
2.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.887683376073397
2.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.405872589911051
2.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.902964743862728
2.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.395015162744834
2.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.91933764352623
3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.384968729274517
3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.936790299534905
3.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.375718084708059
3.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.955311285921328
3.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.367249001640726
3.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.974889102291502
3.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.359548546242263
3.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.995511729159353
3.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.352605366362542
3.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.01716615828455
3.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.346409957350781
3.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.03983789344464
3.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.340954910802562
3.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.06351041678715
3.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.336235150893183
3.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.08816461573671
3.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.332248162385161
3.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.11377816529305
3.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.328994213807482
3.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.14032486051606
4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.326476578646954
4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.16777389407265
4.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.324701756647644
4.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.19608907396643
4.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.323679696440889
4.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.22522797704453
4.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.32342401967812
4.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.25514103465188
4.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.323952245535198
4.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.28577054799839
4.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.325286012939513
4.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.31704963241857
4.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.327451295761925
4.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.34890109223448
4.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.330478603852933
4.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.38123623100124
4.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.334403159696824
4.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.41395360616754
4.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.339265036735341
4.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.44693774285455
5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.345109240828297
5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.48005782843981
5.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.351985710859352
5.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.51316641852831
5.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.359949208082132
5.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.54609819582408
5.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.369059056444784
5.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.57866883656645
5.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.379378687964135
5.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.61067405464963
5.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.390974938546125
5.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.6418889111812
5.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.403917031020125
5.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.67206749662611
5.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.418275174463708
5.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.70094311295728
5.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.434118703470446
5.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.72822910291683
5.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.451513679707602
5.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.75362049033504
6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.470519883347039
6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.77679660628888
6.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.491187136696828
6.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.79742487654278
6.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.513550929953091
6.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.81516593111443
6.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.537627362772199
6.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.82968016124745
6.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.56340747802858
6.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.8406357869018
6.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.590851146770738
6.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.84771840458194
6.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.619880764289372
6.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.85064185908107
6.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.650375130463479
6.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.84916012625942
6.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.682164001922293
6.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.84307971649086
6.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.715023902027944
6.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.83227192696372
7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.748675835246103
7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.81668411066166
7.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.782785550799277
7.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.79634902172725
7.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.816966909516581
7.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.77139128462434
7.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.850788755278802
7.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.74203006383045
7.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.88378533802235
7.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.7085773595091
7.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.915470076188102
7.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.67143154362928
7.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.945351987972736
7.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.63106626979103
7.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.972953817258143
7.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.58801528899013
7.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.997830562401867
7.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.54285417610782
7.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.01958702066981
7.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.4961802639947
8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.03789299551991
8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.44859224722479
8.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.05249503913995
8.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.40067089800278
8.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.06322395399846
8.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.35296214588373
8.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.06999771560098
8.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.30596344765129
8.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.07281992143684
8.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.26011397742434
8.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.07177426083267
8.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.21578876396415
8.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.06701578597636
8.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.17329654849389
8.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.05875992502848
8.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.13288087049352
8.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.04727021399323
8.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.09472372701535
8.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.03284565577455
8.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.05895108976853
9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,1.01580847311447
9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.02563958611087
9.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.996492840827487
9.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.994823730734024
9.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.975234991875442
9.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.966503208803869
9.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.952364914302501
9.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.940649836622675
9.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.928199706235716
9.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.917213946103558
9.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.903038540718165
9.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.89613004415257
9.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.877159110982662
9.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.87732168321587
9.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.850815380910972
9.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.860705538003867
9.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.824236436663407
9.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.846194735754622
9.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.797626237351685
9.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.833701505122289
10,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.77116406839865
10,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.823139224844727
10.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.745005524605111
10.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.814423960511899
10.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.719283869669651
10.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.807475572673882
10.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.69411164390525
10.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.802218473513246
10.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.669582416044357
10.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.798582101094106
10.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.645772596983427
10.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.796501170714601
10.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.622743252571413
10.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.795915753492518
10.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.600541869071781
10.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.796771223527578
10.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.57920403862281
10.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.799018107081233
10.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.558755043105333
10.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.802611860317844
11,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.539211323586113
11,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.807512596271161
11.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.520581829263923
11.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.813684776777519
11.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.5028692449281
11.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.821096881057049
11.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.486071099650369
11.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.829721059314906
11.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.470180762041501
11.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.839532777062296
11.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.455188329149693
11.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.850510453714458
11.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.441081417154997
11.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.862635097312392
11.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.427845862586416
11.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.87588993585214
11.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.415466342987115
11.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.890260044617333
11.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.403926925883024
11.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.905731968037168
12,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.393211554652502
12,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.922293333883418
12.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.383304479512071
12.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.939932457036972
12.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.374190641372135
12.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.958637929565493
12.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.365856015810502
12.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.978398193435917
12.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.3582879238835
12.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,0.999201091821934
12.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.351475315958378
12.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.02103339464737
12.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.345409034213112
12.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.04388029372733
12.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.340082058910511
12.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.06772486263255
12.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.335489743006455
12.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.09254747621735
12.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.331630039085
12.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.11832518463474
13,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.328503722007684
13,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.14503103663806
13.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.326114609995747
13.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.17263334707356
13.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.324469786099828
13.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.20109490374883
13.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.323579821111376
13.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.23037210938202
13.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.32345899788322
13.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.26041405517505
13.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.324125535692627
13.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.29116152381273
13.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.325601811625973
13.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.32254592149252
13.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.327914573905028
13.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.35448814108986
13.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.331095139514106
13.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.38689736194162
13.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.335179565318746
13.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.41966979619665
14,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.340208777979188
14,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.45268739747466
14.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.346228643249133
14.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.48581655495011
14.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.353289949624713
14.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.51890680519541
14.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.361448274725057
14.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.55178960541618
14.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.370763695275537
14.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.58427722526252
14.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.381300293282025
14.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.61616183025039
14.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.393125402269877
14.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.64721484781066
14.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.406308528920166
14.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.67718672660482
14.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.420919878029595
14.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.7058072200436
14.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.437028403863454
14.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.73278634431997
15,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.454699310612004
15,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.75781617732173
15.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.473990931322813
15.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.78057367418281
15.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.494950931412413
15.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.80072467362928
15.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.517611813034265
15.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.81792925145199
15.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.541985743479658
15.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.83184853764291
15.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.568058796909313
15.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.84215304642387
15.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.595784784757031
15.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.848532469408
15.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.625078953755191
15.7,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.85070675028717
15.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.655811944947085
15.8,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.84843809845653
15.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.687804520040501
15.9,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.84154341935824
16,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.720823655027099
16,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.82990645953509
16.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.75458065249119
16.1,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.81348881074782
16.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.788731909146372
16.2,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.79233882185655
16.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.82288287290124
16.3,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.76659746192677
16.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.856595522976795
16.4,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.73650028900056
16.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.889399412281025
16.5,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.70237491709783
16.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Predator,0.920805948820242
16.6,a=0.5 b=0.8 c=1 d=0.8,1_1,Prey,1.66463372829768
